 (197.10112727946193, 265.05580583962785),
 (337.1801169327183, 285.2186907139602),
 (464.5246529811333, 303.2591666541523),
 (582.3183488259173, 320.2384381272743),
 (176.93824240512959, 433.7873161037777),
 (325.50686779494697, 447.5829741756893),
 (461.34103957992295, 460.3174277805308),
 (582.3183488259173, 470.9294724512321),
 (154.65294859665698, 624.8041201764001),
 (312.77241419010556, 630.1101425117507),
 (456.03501724457226, 633.293755912961),
 (584.4407577600574, 636.4773693141715),
 (774.3963573656098, 827.4941733867939),
 (778.6411752338903, 892.2276458780715),
 (678.8879553292985, 637.5385737812416),
 (681.0103642634389, 683.1703658652569)
