 (331.59755475061604, 210.11303020486696),
 (383.74193342560693, 229.58864151721298),
 (383.74193342560693, 502.24719989005706),
 (332.2258002768207, 554.391578565048),
 (600.4866399662319, 206.97180257384343),
 (726.1357452071738, 201.94583836420577),
 (724.8792541547646, 280.4765291397945),
 (599.8583944400272, 281.1047746659992),
 (721.7380265237409, 458.27001305572736),
 (596.7171668090036, 447.5898391102473)
