 (118.62232136721923, 182.47022705185975),
 (193.38353898557978, 209.4847846786622),
 (195.2682755641939, 503.5036909424665),
 (122.3917945244475, 566.3282435629375),
 (442.168767362645, 201.94583836420577),
 (551.4834889222645, 201.94583836420577),
 (549.5987523436504, 274.19407387774737),
 (440.9122763102356, 273.5658283515427),
 (547.0857702388315, 436.2814196385625),
 (438.3992942054167, 432.51194648133423)
