 (509.0952405980785, 290.5247130493109),
 (887.945235342113, 288.40230411517064),
 (312.77241419010556, 382.84950168441173),
 (360.5266152082612, 382.84950168441173),
 (360.5266152082612, 442.2769518403387),
 (311.7112097230354, 443.3381563074088),
 (555.788237149164, 382.84950168441173),
 (604.6036426343898, 382.84950168441173),
 (604.6036426343898, 440.15454290619846),
 (556.8494416162342, 441.2157473732685),
 (797.7428556411525, 380.7270927502715),
 (845.497056659308, 379.6658882832013),
 (846.5582611263782, 440.15454290619846),
 (798.8040601082226, 441.2157473732685),
 (622.644118574582, 485.78633499021373),
 (781.8247886351006, 484.72513052314366),
 (1042.881087534351, 377.54347934906104),
 (1090.635288552507, 376.482274881991),
 (1092.757697486647, 435.90972503791795),
 (1043.9422920014213, 436.970929504988)
