 (678.8879553292985, 338.2789140674664),
 (1068.3499947440341, 317.054824726064),
 (497.42199146030714, 432.7261116367075),
 (541.9925790772523, 432.7261116367075),
 (543.0537835443225, 487.908743924354),
 (497.42199146030714, 488.96994839142417),
 (723.4585429462437, 425.2976803672167),
 (771.2127439643995, 424.2364759001465),
 (772.2739484314694, 481.5415171219332),
 (725.5809518803841, 483.6639260560735),
 (971.780388240653, 415.7468401635856),
 (1023.779407127089, 413.62443122944535),
 (1025.901816061229, 474.1130858524424),
 (973.9027971747931, 477.29669925365283),
 (794.5592422399421, 526.1121047388785),
 (957.9847301687413, 521.867286870598),
 (1242.3875273435347, 405.13479549288434),
 (1297.570159631181, 403.0123865587441),
 (1301.8149774994617, 466.68465458295157),
 (1245.5711407447452, 469.8682679841619)
