 (456.0817553572656, 342.7796379735155),
 (551.2609525772791, 373.5145870758115),
 (550.2695026062374, 784.9663250581617),
 (455.0903053862239, 862.2994227994227),
 (894.3026425577448, 339.80528806039),
 (1072.7636373452701, 333.85658823413917),
 (1066.8149375190194, 704.6588774037753),
 (889.3453927025357, 691.7700277802319),
 (884.3881428473267, 173.24169292536635),
 (1065.8234875479775, 155.39559344661382),
 (1062.849137634852, 321.9591885816375),
 (882.4052429052431, 328.8993383789301),
 (654.3717495656272, 799.8380746237888),
 (603.8078010424949, 158.36994335973918)
