 (112.00493270901427, 379.5437808601073),
 (195.24746493113832, 378.5032492073308),
 (147.38300890341702, 737.4866694152408),
 (53.73516015352743, 738.5272010680173),
 (399.1916688753423, 375.38165424900114),
 (484.5152644030194, 374.3411225962245),
 (465.78569465304156, 731.2434794985815),
 (371.09731425037546, 733.3245428041346),
 (694.7026582638827, 219.30190633251857),
 (751.9318991665929, 217.22084302696544),
 (754.0129624721461, 280.69327384633505),
 (695.7431899166592, 281.73380549911155),
 (688.4594683472234, 648.0009472764574),
 (780.0262537915597, 648.0009472764574),
 (781.0667854443362, 679.2168968597539),
 (688.4594683472234, 680.2574285125305)
