 (423.1238968892029, 415.96238870728666),
 (490.75845431967866, 409.7191987906273),
 (462.6640996947118, 737.4866694152408),
 (388.7863523475768, 738.5272010680173),
 (669.7298985972453, 394.1112239989791),
 (748.8103042082633, 387.8680340823197),
 (744.6481775971571, 735.4056061096876),
 (659.32458206948, 736.4461377624642),
 (955.8761031107969, 210.97765311030616),
 (1018.3080022773898, 202.65339988809376),
 (1023.5106605412726, 268.2068940130164),
 (958.9976980691266, 275.4906155824523),
 (966.2814196385624, 653.2036055403402),
 (1069.2940532634407, 652.1630738875637),
 (1070.3345849162174, 686.5006184291898),
 (967.3219512913389, 687.5411500819663)
